Namespace(device='cuda:1', in_size=3, num_classes=2, fusion_type='early', gcn_channels=3, gcn_hidden=64, gcn_layers=4, gcn_dropout=0.1, trans_num_layers=4, input_node_dim=3, hidden_node_dim=32, input_edge_dim=0, hidden_edge_dim=32, ouput_dim=None, n_heads=4, max_in_degree=5, max_out_degree=5, max_path_distance=5, hidden_dim=64, num_layers=4, num_features=3, num_heads=8, dropout=0.1, pos_encoding='gcn', att_dropout=0.1, d_k=64, d_v=64, pos_embed_type='s', alpha=0.4, num_fusion_layers=4, loss_log=1, output_dim=2)
Epoch: 000,  Train loss: 0.682388,  Train Acc: 0.593258,  Test Acc: 0.605381
Epoch: 001,  Train loss: 0.612644,  Train Acc: 0.613483,  Test Acc: 0.618834
Epoch: 002,  Train loss: 0.597956,  Train Acc: 0.593258,  Test Acc: 0.605381
Epoch: 003,  Train loss: 0.584872,  Train Acc: 0.660674,  Test Acc: 0.641256
Epoch: 004,  Train loss: 0.573871,  Train Acc: 0.713483,  Test Acc: 0.704036
Epoch: 005,  Train loss: 0.599636,  Train Acc: 0.610112,  Test Acc: 0.623318
Epoch: 006,  Train loss: 0.591056,  Train Acc: 0.656180,  Test Acc: 0.636771
Epoch: 007,  Train loss: 0.577086,  Train Acc: 0.704494,  Test Acc: 0.690583
Epoch: 008,  Train loss: 0.577806,  Train Acc: 0.662921,  Test Acc: 0.645740
Epoch: 009,  Train loss: 0.560803,  Train Acc: 0.715730,  Test Acc: 0.690583
Epoch: 010,  Train loss: 0.572065,  Train Acc: 0.692135,  Test Acc: 0.672646
Epoch: 011,  Train loss: 0.558882,  Train Acc: 0.717978,  Test Acc: 0.690583
Epoch: 012,  Train loss: 0.565582,  Train Acc: 0.664045,  Test Acc: 0.686099
Epoch: 013,  Train loss: 0.581941,  Train Acc: 0.721348,  Test Acc: 0.677130
Epoch: 014,  Train loss: 0.581021,  Train Acc: 0.662921,  Test Acc: 0.686099
Epoch: 015,  Train loss: 0.598798,  Train Acc: 0.682022,  Test Acc: 0.672646
Epoch: 016,  Train loss: 0.574927,  Train Acc: 0.722472,  Test Acc: 0.681614
Epoch: 017,  Train loss: 0.571823,  Train Acc: 0.722472,  Test Acc: 0.704036
Epoch: 018,  Train loss: 0.561425,  Train Acc: 0.722472,  Test Acc: 0.704036
Epoch: 019,  Train loss: 0.558141,  Train Acc: 0.721348,  Test Acc: 0.699552
Epoch: 020,  Train loss: 0.570242,  Train Acc: 0.687640,  Test Acc: 0.681614
Epoch: 021,  Train loss: 0.556522,  Train Acc: 0.717978,  Test Acc: 0.677130
Epoch: 022,  Train loss: 0.553938,  Train Acc: 0.697753,  Test Acc: 0.681614
Epoch: 023,  Train loss: 0.559090,  Train Acc: 0.716854,  Test Acc: 0.704036
